Fecha,Rótulo,Localidad,IDProvincia,Precio Gasolina 95 E5,Precio Gasoleo A
2026-04-14,CEPSA PUERTO DE LA CRUZ,PUERTO DE LA CRUZ,38,1.429,1.619
2026-04-14,SHELL,PUERTO DE LA CRUZ,38,1.475,1.629
2026-04-14,DISA,PUERTO DE LA CRUZ,38,1.475,1.629
2026-04-14,SHELL EL AGUILA,PUERTO DE LA CRUZ,38,1.485,1.645
2026-04-14,REPSOL,PUNTAGORDA,38,1.55,1.65
2026-04-14,SHELL PUNTALLANA,PUNTALLANA,38,1.599,1.689
2026-04-14,SHELL LAS DEHESAS,REALEJOS (LOS),38,1.495,1.645
2026-04-14,DISA LOS BARROS,REALEJOS (LOS),38,1.485,1.639
2026-04-14,EESS OCÉANO  LA AZADILLA,REALEJOS (LOS),38,1.425,1.575
2026-04-14,PCAN,REALEJOS (LOS),38,1.418,1.578
2026-04-14,CEPSA,REALEJOS (LOS),38,1.438,1.669
2026-04-14,SHELL LOS REALEJOS,REALEJOS (LOS),38,1.485,1.645
2026-04-14,TGAS LA GORVORANA,REALEJOS (LOS),38,1.469,1.659
2026-04-14,OCÉANO LOS REALEJOS,REALEJOS (LOS),38,1.425,1.575
2026-04-14,PETROPRIX,REALEJOS (LOS),38,1.385,1.555
2026-04-14,ESTACION DE SERVICIOS EL MIRADOR,REALEJOS (LOS),38,1.419,1.629
2026-04-14,REPSOL,CRUZ SANTA,38,1.444,1.699
2026-04-14,DISA,ICOD EL ALTO,38,1.475,1.625
2026-04-14,REPSOL,PALO BLANCO-LLANADAS,38,1.385,1.635
2026-04-14,TGAS EL ROSARIO,SAN ISIDRO,38,1.429,1.599
2026-04-14,CEPSA,ROSARIO (EL),38,1.439,1.624
2026-04-14,PCAN,ROSARIO (EL),38,1.436,1.638
2026-04-14,MOEVE,SAUCES (LOS),38,1.622,1.599
2026-04-14,DISA,SAUCES (LOS),38,1.569,1.599
2026-04-14,SHELL LA LAGUNA,SAN CRISTOBAL,38,1.445,1.619
2026-04-14,REPSOL,SAN CRISTOBAL,38,1.439,1.657
